Year,Geo_Level,State_ANSI,Commodity_ID,Value
2022,STATE,1,2,"400,000"
2022,STATE,4,2,"1,035,000"
2022,STATE,5,2,"1,120,000"
2022,STATE,6,2,"11,590,000"
2022,STATE,8,2,"1,302,000"
2022,STATE,12,2,"7,350,000"
2022,STATE,13,2,"3,296,000"
2022,STATE,16,2,"2,726,000"
2022,STATE,17,2,"470,000"
2022,STATE,18,2,"567,000"
2022,STATE,19,2,"2,448,000"
2022,STATE,20,2,"372,000"
2022,STATE,21,2,"252,000"
2022,STATE,22,2,"2,562,000"
2022,STATE,23,2,"230,000"
2022,STATE,26,2,"3,362,000"
2022,STATE,27,2,"5,202,000"
2022,STATE,28,2,"1,995,000"
2022,STATE,29,2,"328,000"
2022,STATE,30,2,"7,503,000"
2022,STATE,31,2,"1,496,000"
2022,STATE,34,2,"624,000"
2022,STATE,36,2,"2,862,000"
2022,STATE,37,2,"507,000"
2022,STATE,38,2,"31,200,000"
2022,STATE,39,2,"1,254,000"
2022,STATE,41,2,"3,404,000"
2022,STATE,,2,"3,316,000"
2022,STATE,42,2,"1,058,000"
2022,STATE,45,2,"507,000"
2022,STATE,46,2,"7,215,000"
2022,STATE,47,2,"423,000"
2022,STATE,48,2,"8,321,000"
2022,STATE,49,2,"1,196,000"
2022,STATE,50,2,"282,000"
2022,STATE,51,2,"266,000"
2022,STATE,53,2,"2,752,000"
2022,STATE,54,2,"273,000"
2022,STATE,55,2,"2,915,000"
2022,STATE,56,2,"1,350,000"
2021,STATE,1,2,"320,000"
2021,STATE,4,2,"1,040,000"
2021,STATE,5,2,"850,000"
2021,STATE,6,2,"9,570,000"
2021,STATE,8,2,"1,160,000"
2021,STATE,12,2,"8,492,000"
2021,STATE,13,2,"3,264,000"
2021,STATE,15,2,"1,860,000"
2021,STATE,16,2,"3,000,000"
2021,STATE,17,2,"460,000"
2021,STATE,18,2,"520,000"
2021,STATE,19,2,"2,090,000"
2021,STATE,20,2,"294,000"
2021,STATE,21,2,"259,000"
2021,STATE,22,2,"2,146,000"
2021,STATE,23,2,"374,000"
2021,STATE,26,2,"5,100,000"
2021,STATE,27,2,"7,125,000"
2021,STATE,28,2,"1,775,000"
2021,STATE,29,2,"280,000"
2021,STATE,30,2,"6,669,000"
2021,STATE,31,2,"1,786,000"
2021,STATE,34,2,"525,000"
2021,STATE,36,2,"3,021,000"
2021,STATE,37,2,"507,000"
2021,STATE,38,2,"28,325,000"
2021,STATE,39,2,"1,024,000"
2021,STATE,41,2,"2,666,000"
2021,STATE,,2,"1,349,000"
2021,STATE,42,2,"840,000"
2021,STATE,45,2,"630,000"
2021,STATE,46,2,"12,250,000"
2021,STATE,47,2,"448,000"
2021,STATE,48,2,"7,672,000"
2021,STATE,49,2,"1,023,000"
2021,STATE,50,2,"282,000"
2021,STATE,51,2,"240,000"
2021,STATE,53,2,"3,072,000"
2021,STATE,54,2,"258,000"
2021,STATE,55,2,"1,974,000"
2021,STATE,56,2,"2,204,000"
2020,STATE,1,2,"273,000"
2020,STATE,4,2,"900,000"
2020,STATE,5,2,"980,000"
2020,STATE,6,2,"13,760,000"
2020,STATE,8,2,"1,230,000"
2020,STATE,12,2,"8,832,000"
2020,STATE,13,2,"3,434,000"
2020,STATE,15,2,"1,575,000"
2020,STATE,16,2,"3,745,000"
2020,STATE,17,2,"520,000"
2020,STATE,18,2,"495,000"
2020,STATE,19,2,"2,030,000"
2020,STATE,20,2,"496,000"
2020,STATE,21,2,"231,000"
2020,STATE,22,2,"2,277,000"
2020,STATE,23,2,"300,000"
2020,STATE,26,2,"4,465,000"
2020,STATE,27,2,"5,940,000"
2020,STATE,28,2,"1,825,000"
2020,STATE,29,2,"369,000"
2020,STATE,30,2,"8,910,000"
2020,STATE,31,2,"1,924,000"
2020,STATE,34,2,"434,000"
2020,STATE,36,2,"3,248,000"
2020,STATE,37,2,"456,000"
2020,STATE,38,2,"38,610,000"
2020,STATE,39,2,"1,200,000"
2020,STATE,41,2,"2,755,000"
2020,STATE,,2,"1,375,000"
2020,STATE,42,2,"912,000"
2020,STATE,45,2,"736,000"
2020,STATE,46,2,"14,945,000"
2020,STATE,47,2,"357,000"
2020,STATE,48,2,"8,949,000"
2020,STATE,49,2,"952,000"
2020,STATE,50,2,"282,000"
2020,STATE,51,2,"200,000"
2020,STATE,53,2,"3,626,000"
2020,STATE,54,2,"276,000"
2020,STATE,55,2,"2,250,000"
2020,STATE,56,2,"1,520,000"
2019,STATE,1,2,"294,000"
2019,STATE,4,2,"1,058,000"
2019,STATE,5,2,"1,100,000"
2019,STATE,6,2,"16,080,000"
2019,STATE,8,2,"1,472,000"
2019,STATE,12,2,"9,225,000"
2019,STATE,13,2,"3,366,000"
2019,STATE,15,2,"1,280,000"
2019,STATE,16,2,"2,944,000"
2019,STATE,17,2,"429,000"
2019,STATE,18,2,"495,000"
2019,STATE,19,2,"2,090,000"
2019,STATE,20,2,"553,000"
2019,STATE,21,2,"246,000"
2019,STATE,22,2,"3,888,000"
2019,STATE,23,2,"525,000"
2019,STATE,26,2,"4,700,000"
2019,STATE,27,2,"6,962,000"
2019,STATE,28,2,"1,760,000"
2019,STATE,29,2,"430,000"
2019,STATE,30,2,"14,878,000"
2019,STATE,31,2,"2,028,000"
2019,STATE,34,2,"420,000"
2019,STATE,36,2,"3,422,000"
2019,STATE,37,2,"588,000"
2019,STATE,38,2,"33,800,000"
2019,STATE,39,2,"1,005,000"
2019,STATE,41,2,"2,784,000"
2019,STATE,,2,"1,418,000"
2019,STATE,42,2,"950,000"
2019,STATE,45,2,"752,000"
2019,STATE,46,2,"19,440,000"
2019,STATE,47,2,"456,000"
2019,STATE,48,2,"7,560,000"
2019,STATE,49,2,"638,000"
2019,STATE,50,2,"288,000"
2019,STATE,51,2,"195,000"
2019,STATE,53,2,"2,835,000"
2019,STATE,54,2,"222,000"
2019,STATE,55,2,"2,162,000"
2019,STATE,56,2,"2,184,000"
2018,STATE,1,2,"270,000"
2018,STATE,4,2,"912,000"
2018,STATE,5,2,"1,400,000"
2018,STATE,6,2,"13,735,000"
2018,STATE,8,2,"1,488,000"
2018,STATE,12,2,"10,535,000"
2018,STATE,13,2,"3,332,000"
2018,STATE,15,2,"1,751,000"
2018,STATE,16,2,"2,976,000"
2018,STATE,17,2,"451,000"
2018,STATE,18,2,"322,000"
2018,STATE,19,2,"1,862,000"
2018,STATE,20,2,"365,000"
2018,STATE,21,2,"164,000"
2018,STATE,22,2,"3,735,000"
2018,STATE,23,2,"384,000"
2018,STATE,26,2,"4,268,000"
2018,STATE,27,2,"7,259,000"
2018,STATE,28,2,"1,740,000"
2018,STATE,29,2,"405,000"
2018,STATE,30,2,"14,720,000"
2018,STATE,31,2,"2,360,000"
2018,STATE,34,2,"403,000"
2018,STATE,36,2,"2,688,000"
2018,STATE,37,2,"330,000"
2018,STATE,38,2,"39,600,000"
2018,STATE,39,2,"1,022,000"
2018,STATE,41,2,"3,255,000"
2018,STATE,,2,"1,399,000"
2018,STATE,42,2,"836,000"
2018,STATE,45,2,"768,000"
2018,STATE,46,2,"11,985,000"
2018,STATE,47,2,"322,000"
2018,STATE,48,2,"7,392,000"
2018,STATE,49,2,"1,066,000"
2018,STATE,50,2,"336,000"
2018,STATE,51,2,"160,000"
2018,STATE,53,2,"3,311,000"
2018,STATE,54,2,"222,000"
2018,STATE,55,2,"2,295,000"
2018,STATE,56,2,"2,184,000"
2017,STATE,1,2,"315,000"
2017,STATE,4,2,"880,000"
2017,STATE,5,2,"1,972,000"
2017,STATE,6,2,"13,735,000"
2017,STATE,8,2,"1,419,000"
2017,STATE,12,2,"8,815,000"
2017,STATE,13,2,"3,168,000"
2017,STATE,15,2,"2,489,000"
2017,STATE,16,2,"4,180,000"
2017,STATE,17,2,"506,000"
2017,STATE,18,2,"416,000"
2017,STATE,19,2,"2,030,000"
2017,STATE,20,2,"553,000"
2017,STATE,21,2,"190,000"
2017,STATE,22,2,"3,483,000"
2017,STATE,23,2,"396,000"
2017,STATE,26,2,"3,915,000"
2017,STATE,27,2,"7,812,000"
2017,STATE,28,2,"1,548,000"
2017,STATE,29,2,"520,000"
2017,STATE,30,2,"10,440,000"
2017,STATE,31,2,"2,646,000"
2017,STATE,34,2,"364,000"
2017,STATE,36,2,"3,192,000"
2017,STATE,37,2,"451,000"
2017,STATE,38,2,"33,670,000"
2017,STATE,39,2,"1,095,000"
2017,STATE,41,2,"3,120,000"
2017,STATE,,2,"1,518,000"
2017,STATE,42,2,"736,000"
2017,STATE,45,2,"544,000"
2017,STATE,46,2,"14,535,000"
2017,STATE,47,2,"287,000"
2017,STATE,48,2,"7,920,000"
2017,STATE,49,2,"837,000"
2017,STATE,50,2,"378,000"
2017,STATE,51,2,"210,000"
2017,STATE,53,2,"3,465,000"
2017,STATE,54,2,"240,000"
2017,STATE,55,2,"2,968,000"
2017,STATE,56,2,"2,067,000"
2016,STATE,1,2,"364,000"
2016,STATE,4,2,"1,242,000"
2016,STATE,5,2,"1,656,000"
2016,STATE,6,2,"11,160,000"
2016,STATE,8,2,"1,280,000"
2016,STATE,12,2,"10,750,000"
2016,STATE,13,2,"3,744,000"
2016,STATE,15,2,"2,034,000"
2016,STATE,16,2,"3,298,000"
2016,STATE,17,2,"480,000"
2016,STATE,18,2,"496,000"
2016,STATE,19,2,"1,776,000"
2016,STATE,20,2,"336,000"
2016,STATE,21,2,"230,000"
2016,STATE,22,2,"4,300,000"
2016,STATE,23,2,"408,000"
2016,STATE,26,2,"5,340,000"
2016,STATE,27,2,"7,316,000"
2016,STATE,28,2,"1,615,000"
2016,STATE,29,2,"496,000"
2016,STATE,30,2,"12,243,000"
2016,STATE,31,2,"2,208,000"
2016,STATE,34,2,"324,000"
2016,STATE,36,2,"3,648,000"
2016,STATE,37,2,"444,000"
2016,STATE,38,2,"37,830,000"
2016,STATE,39,2,"1,185,000"
2016,STATE,41,2,"2,590,000"
2016,STATE,,2,"1,601,000"
2016,STATE,42,2,"950,000"
2016,STATE,45,2,"720,000"
2016,STATE,46,2,"19,880,000"
2016,STATE,47,2,"330,000"
2016,STATE,48,2,"9,310,000"
2016,STATE,49,2,"992,000"
2016,STATE,50,2,"312,000"
2016,STATE,51,2,"190,000"
2016,STATE,53,2,"2,940,000"
2016,STATE,54,2,"160,000"
2016,STATE,55,2,"3,348,000"
2016,STATE,56,2,"2,720,000"
2015,STATE,1,2,"329,000"
2015,STATE,4,2,"1,274,000"
2015,STATE,5,2,"1,728,000"
2015,STATE,6,2,"8,250,000"
2015,STATE,8,2,"1,479,000"
2015,STATE,12,2,"11,880,000"
2015,STATE,13,2,"2,760,000"
2015,STATE,15,2,"1,632,000"
2015,STATE,16,2,"2,848,000"
2015,STATE,17,2,"408,000"
2015,STATE,18,2,"318,000"
2015,STATE,19,2,"1,800,000"
2015,STATE,20,2,"288,000"
2015,STATE,21,2,"230,000"
2015,STATE,22,2,"4,356,000"
2015,STATE,23,2,"470,000"
2015,STATE,26,2,"5,220,000"
2015,STATE,27,2,"8,296,000"
2015,STATE,28,2,"1,245,000"
2015,STATE,29,2,"520,000"
2015,STATE,30,2,"12,118,000"
2015,STATE,31,2,"2,736,000"
2015,STATE,34,2,"324,000"
2015,STATE,36,2,"3,596,000"
2015,STATE,37,2,"540,000"
2015,STATE,38,2,"36,260,000"
2015,STATE,39,2,"850,000"
2015,STATE,41,2,"2,698,000"
2015,STATE,,2,"1,168,000"
2015,STATE,42,2,"901,000"
2015,STATE,45,2,"938,000"
2015,STATE,46,2,"19,140,000"
2015,STATE,47,2,"413,000"
2015,STATE,48,2,"8,316,000"
2015,STATE,49,2,"1,134,000"
2015,STATE,50,2,"260,000"
2015,STATE,51,2,"185,000"
2015,STATE,53,2,"3,212,000"
2015,STATE,54,2,"175,000"
2015,STATE,55,2,"3,484,000"
2015,STATE,56,2,"2,926,000"
2014,STATE,1,2,"371,000"
2014,STATE,4,2,"1,014,000"
2014,STATE,5,2,"1,365,000"
2014,STATE,6,2,"12,480,000"
2014,STATE,8,2,"999,000"
2014,STATE,12,2,"14,700,000"
2014,STATE,13,2,"4,526,000"
2014,STATE,15,2,"1,395,000"
2014,STATE,16,2,"3,400,000"
2014,STATE,17,2,"392,000"
2014,STATE,18,2,"310,000"
2014,STATE,19,2,"1,505,000"
2014,STATE,20,2,"525,000"
2014,STATE,21,2,"235,000"
2014,STATE,22,2,"4,032,000"
2014,STATE,23,2,"376,000"
2014,STATE,26,2,"5,733,000"
2014,STATE,27,2,"7,920,000"
2014,STATE,28,2,"2,240,000"
2014,STATE,29,2,"564,000"
2014,STATE,30,2,"14,256,000"
2014,STATE,31,2,"3,750,000"
2014,STATE,34,2,"360,000"
2014,STATE,36,2,"3,300,000"
2014,STATE,37,2,"516,000"
2014,STATE,38,2,"42,140,000"
2014,STATE,39,2,"915,000"
2014,STATE,41,2,"2,840,000"
2014,STATE,,2,"1,404,000"
2014,STATE,42,2,"782,000"
2014,STATE,45,2,"486,000"
2014,STATE,46,2,"24,360,000"
2014,STATE,47,2,"441,000"
2014,STATE,48,2,"9,048,000"
2014,STATE,49,2,"812,000"
2014,STATE,50,2,"232,000"
2014,STATE,51,2,"228,000"
2014,STATE,53,2,"2,992,000"
2014,STATE,54,2,"186,000"
2014,STATE,55,2,"2,862,000"
2014,STATE,56,2,"2,318,000"
2013,STATE,1,2,"364,000"
2013,STATE,4,2,"1,044,000"
2013,STATE,5,2,"1,320,000"
2013,STATE,6,2,"10,890,000"
2013,STATE,8,2,"1,118,000"
2013,STATE,12,2,"13,420,000"
2013,STATE,13,2,"3,350,000"
2013,STATE,15,2,"1,079,000"
2013,STATE,16,2,"2,656,000"
2013,STATE,17,2,"336,000"
2013,STATE,18,2,"282,000"
2013,STATE,19,2,"1,872,000"
2013,STATE,20,2,"276,000"
2013,STATE,21,2,"123,000"
2013,STATE,22,2,"4,900,000"
2013,STATE,23,2,"301,000"
2013,STATE,26,2,"4,675,000"
2013,STATE,27,2,"7,540,000"
2013,STATE,28,2,"1,972,000"
2013,STATE,29,2,"470,000"
2013,STATE,30,2,"14,946,000"
2013,STATE,31,2,"2,760,000"
2013,STATE,34,2,"484,000"
2013,STATE,36,2,"2,640,000"
2013,STATE,37,2,"380,000"
2013,STATE,38,2,"33,120,000"
2013,STATE,39,2,"765,000"
2013,STATE,41,2,"2,170,000"
2013,STATE,,2,"1,295,000"
2013,STATE,42,2,"585,000"
2013,STATE,46,2,"14,840,000"
2013,STATE,47,2,"315,000"
2013,STATE,48,2,"6,254,000"
2013,STATE,49,2,"1,020,000"
2013,STATE,50,2,"204,000"
2013,STATE,51,2,"175,000"
2013,STATE,53,2,"2,691,000"
2013,STATE,54,2,"276,000"
2013,STATE,55,2,"3,540,000"
2013,STATE,56,2,"3,102,000"
2012,STATE,1,2,"432,000"
2012,STATE,4,2,"1,012,000"
2012,STATE,5,2,"1,575,000"
2012,STATE,6,2,"11,550,000"
2012,STATE,8,2,"1,200,000"
2012,STATE,12,2,"12,352,000"
2012,STATE,13,2,"3,009,000"
2012,STATE,15,2,"750,000"
2012,STATE,16,2,"2,944,000"
2012,STATE,17,2,"427,000"
2012,STATE,18,2,"472,000"
2012,STATE,19,2,"2,257,000"
2012,STATE,20,2,"330,000"
2012,STATE,21,2,"255,000"
2012,STATE,22,2,"3,526,000"
2012,STATE,23,2,"136,000"
2012,STATE,26,2,"4,161,000"
2012,STATE,27,2,"8,375,000"
2012,STATE,28,2,"2,124,000"
2012,STATE,29,2,"371,000"
2012,STATE,30,2,"7,540,000"
2012,STATE,31,2,"2,795,000"
2012,STATE,34,2,"462,000"
2012,STATE,35,2,"260,000"
2012,STATE,36,2,"2,601,000"
2012,STATE,37,2,"507,000"
2012,STATE,38,2,"33,120,000"
2012,STATE,39,2,"1,080,000"
2012,STATE,41,2,"1,920,000"
2012,STATE,,2,"1,389,000"
2012,STATE,42,2,"960,000"
2012,STATE,46,2,"16,380,000"
2012,STATE,47,2,"366,000"
2012,STATE,48,2,"4,784,000"
2012,STATE,49,2,"950,000"
2012,STATE,50,2,"240,000"
2012,STATE,51,2,"164,000"
2012,STATE,53,2,"2,542,000"
2012,STATE,54,2,"288,000"
2012,STATE,55,2,"4,140,000"
2012,STATE,56,2,"2,550,000"
2011,STATE,1,2,"450,000"
2011,STATE,4,2,"1,219,000"
2011,STATE,5,2,"1,408,000"
2011,STATE,6,2,"17,760,000"
2011,STATE,8,2,"1,705,000"
2011,STATE,12,2,"10,980,000"
2011,STATE,13,2,"2,795,000"
2011,STATE,15,2,"666,000"
2011,STATE,16,2,"3,132,000"
2011,STATE,17,2,"350,000"
2011,STATE,18,2,"408,000"
2011,STATE,19,2,"1,550,000"
2011,STATE,20,2,"308,000"
2011,STATE,21,2,"156,000"
2011,STATE,22,2,"2,772,000"
2011,STATE,23,2,"120,000"
2011,STATE,26,2,"4,736,000"
2011,STATE,27,2,"6,360,000"
2011,STATE,28,2,"2,070,000"
2011,STATE,29,2,"344,000"
2011,STATE,30,2,"13,340,000"
2011,STATE,31,2,"2,419,000"
2011,STATE,34,2,"451,000"
2011,STATE,35,2,"392,000"
2011,STATE,36,2,"2,744,000"
2011,STATE,37,2,"868,000"
2011,STATE,38,2,"32,660,000"
2011,STATE,39,2,"990,000"
2011,STATE,41,2,"2,040,000"
2011,STATE,,2,"1,156,000"
2011,STATE,42,2,"1,056,000"
2011,STATE,46,2,"16,500,000"
2011,STATE,47,2,"308,000"
2011,STATE,48,2,"4,524,000"
2011,STATE,49,2,"897,000"
2011,STATE,50,2,"172,000"
2011,STATE,51,2,"160,000"
2011,STATE,53,2,"2,698,000"
2011,STATE,54,2,"212,000"
2011,STATE,55,2,"3,591,000"
2011,STATE,56,2,"1,890,000"
2010,STATE,1,2,"486,000"
2010,STATE,4,2,"1,848,000"
2010,STATE,5,2,"1,500,000"
2010,STATE,6,2,"27,470,000"
2010,STATE,8,2,"1,904,000"
2010,STATE,12,2,"13,800,000"
2010,STATE,13,2,"2,530,000"
2010,STATE,15,2,"770,000"
2010,STATE,16,2,"2,619,000"
2010,STATE,17,2,"369,000"
2010,STATE,18,2,"430,000"
2010,STATE,19,2,"1,323,000"
2010,STATE,20,2,"468,000"
2010,STATE,21,2,"335,000"
2010,STATE,22,2,"2,880,000"
2010,STATE,23,2,"205,000"
2010,STATE,26,2,"4,118,000"
2010,STATE,27,2,"8,448,000"
2010,STATE,28,2,"1,568,000"
2010,STATE,29,2,"572,000"
2010,STATE,30,2,"11,618,000"
2010,STATE,31,2,"2,255,000"
2010,STATE,34,2,"455,000"
2010,STATE,35,2,"462,000"
2010,STATE,36,2,"2,880,000"
2010,STATE,37,2,"598,000"
2010,STATE,38,2,"46,410,000"
2010,STATE,39,2,"1,116,000"
2010,STATE,41,2,"2,301,000"
